group,2018/19,2019/20,2020/21,2021/22,2022/23
Total Māori,9.5,9.6,10.5,11.4,13.8
Total Pacific,12.9,10.1,11.2,11.8,11.2
Total Asian,4.6,5.5,6.0,5.5,5.6
Total European/Other,5.6,5.7,6.4,7.3,8.6
