group,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23
Total Māori,17.7,14.5,12.6,14.5,14.7,13.7,13.1,11.4,12.6,7.2,8.8,7.6
Total Pacific,13.1,15.8,15.1,17.3,19.3,15.4,13.6,13.8,13.6,6.6,3.9,8.5
Total European/Other,5.8,4.8,4.9,5.1,5.0,5.9,5.7,4.2,4.2,2.7,2.9,3.3
Total Asian,5.0,4.9,3.3,5.3,3.1,5.6,5.1,3.5,2.8,1.7,2.6,2.6
