group,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23
Total Māori,22.5,25.2,21.3,19.7,22.6,22.2,22.6,21.3,20.5,15.7,14.9,16.9
Total Pacific,16.4,21.3,22.0,20.2,21.5,17.7,18.3,19.4,16.1,15.2,11.0,17.6
Total European/Other,12.9,13.1,13.3,13.2,14.0,13.9,14.6,12.8,13.3,9.7,11.1,12.4
Total Asian,10.1,14.3,11.1,10.8,9.1,10.2,13.8,10.9,11.2,8.7,10.8,10.4
